	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
261	apex1	0.47417585762110037	0.8250972063185716	-0.5178512079340865	0.1453859468587305	False	False
262	si:dkey-29j8.2	0.02106081028966778	0.3516735380931133	1068.1646000817916	0.0027627392642619025	False	False
263	slc26a5	0.5842861567400124	0.8250972063185716	-0.7293125998738363	0.08823175251034225	False	False
264	pthlha			0.0	0.0	True	True
265	si:dkey-84h14.1	0.33269756434231157	0.8250972063185716	-1068.4732506644882	0.018269367597803003	False	False
266	ntf3			0.0	0.0	True	True
267	znf1073			0.0	0.0	True	True
268	znf1053-1			0.0	0.0	True	True
269	nfyba	0.6877923004690942	0.8438243392684587	0.33595136427930483	0.10963612594558705	False	False
270	znf1037	0.02106081028966778	0.3516735380931133	1068.6254998363497	0.0038026342109683774	False	False
271	psmc2	0.4495925703715419	0.8250972063185716	0.6228220205202741	0.11298503670509295	False	False
272	xpot	0.33884011001880876	0.8250972063185716	-0.6066253745941654	0.12461214031211633	False	False
273	caprin2			0.0	0.0	True	True
274	si:dkey-28i19.3			0.0	0.0	True	True
275	si:dkey-250k10.1	0.5419961310840583	0.8250972063185716	-1066.9942864443515	0.006554067676531761	False	False
276	znf1026-1	0.38678940539676054	0.8250972063185716	-1067.991860533075	0.013086112366864057	False	False
277	si:dkey-29p23.2	0.6679128344611995	0.8250972063185716	-1066.217730259668	0.0038259934010533474	False	False
278	si:dkeyp-53e4.4	0.6985836796513301	0.8491247907162616	-0.5725742270146139	0.03447206142334209	False	False
279	ENSDARG00000009262	0.14870408531221233	0.8250972063185716	-1069.482704452869	0.036778954863139465	False	False
280	si:ch211-226o13.1	0.6679128344611995	0.8250972063185716	-1065.6982231972722	0.002669051833149296	False	False
281	tbc1d30	0.6524811023040236	0.8250972063185716	0.37735863536492004	0.0511712967245667	False	False
282	zgc:173705-1	0.5419961310840583	0.8250972063185716	-1066.980040098082	0.006489665973139479	False	False
283	si:dkey-29p23.1	0.9310889708654526	0.9709089606618718	0.1290237247993364	0.041678563588195376	False	False
284	si:ch211-246b8.5			0.0	0.0	True	True
285	slc35e3			0.0	0.0	True	True
286	si:ch211-246b8.1	0.02106081028966778	0.3516735380931133	1067.6685609613019	0.001958922460031362	False	False
287	lamb1b			0.0	0.0	True	True
288	si:ch211-249c2.1	0.6679128344611995	0.8250972063185716	-1066.2155104858982	0.003820111139566319	False	False
289	psmb10			0.0	0.0	True	True
290	si:dkey-172k15.4	0.7962478779060858	0.8958232551541411	0.47042807027465805	0.015412205357528682	False	False
291	si:dkey-172k15.3	0.23459532390639437	0.8250972063185716	1.858841726704804	0.02037730350558977	False	False
292	hcfc2	0.40222655622650616	0.8250972063185716	1.8155774960851965	0.0083195748515376	False	False
293	si:dkey-261p22.1	0.38678940539676054	0.8250972063185716	-1067.8992125237455	0.012272154531647312	False	False
294	cntn1b	0.239486436474451	0.8250972063185716	1.2442171796359727	0.022424403031258262	False	False
295	adm2a			0.0	0.0	True	True
296	znf1104	0.5419961310840583	0.8250972063185716	-1067.0984576734752	0.007044814892409597	False	False
297	si:dkey-22l11.6	0.9471465265115615	0.9762522871138485	0.3180176963494763	0.0206974576545473	False	False
298	asb13a.2	0.40467561663779716	0.8250972063185716	1.8704280577811752	0.009211762193769258	False	False
299	gnsa	0.022973590102847795	0.36832007073126677	1.574923285383456	0.0733963395015366	False	False
300	si:dkeyp-51g9.4			0.0	0.0	True	True
301	sinhcaf	0.9356450000559103	0.9729492694226913	-0.12819630040661592	0.1782478096145007	False	False
302	rergla	0.11588411176754844	0.8250972063185716	-1069.6710467720238	0.041907916640139736	False	False
